id,title,artist,full_lyrics,reff_lyrics,emotion
1,besok entah kemana,ardhito pramono,duduk sendiri di ujung malam. mikirin hari esok yang tak pasti. kuliah hampir selesai tapi. aku waswas masa depanku nanti. semua teman sudah dapat kerja. aku masih gelisah di rumah. orangtua tanya kapan menikah. cemas hati tak tahu jawabnya. . besok entah kemana aku akan pergi. khawatir langkahku salah arah. ketidakpastian ini mencekam jiwa. bimbang antara mimpi dan realita. gemetar hati saat memikirkan. masa depan yang tak terjangkau. malam berganti tapi pikiran sama. keraguan menghantui setiap doa. apakah aku mampu bertahan. di dunia yang semakin kejam,besok entah kemana aku akan pergi. khawatir langkahku salah arah. ketidakpastian ini mencekam jiwa. bimbang antara mimpi dan realita. gemetar hati saat memikirkan. masa depan yang tak terjangkau,takut
2,takut memilih,pamungkas,"ada dua jalan di depan mata. kiri atau kanan aku tak tahu. satu salah, satu mungkin benar. tapi cemas kalau salah pilih. teman bilang ikuti kata hati. tapi hatiku juga bimbang. orangtua bilang pikirkan baik-baik. tapi makin lama makin waswas. . takut memilih karena takut salah. gelisah malam tidurku tak nyenyak. keraguan ini membuat jantung berdebar. khawatir keputusan yang kupilih. akan menyesal di kemudian hari. gemetar tangan saat harus menandatangani. waktu terus berjalan tapi aku diam. ketidakpastian membuat resah. setiap pilihan punya konsekuensi. yang membuatku semakin cemas",takut memilih karena takut salah. gelisah malam tidurku tak nyenyak. keraguan ini membuat jantung berdebar. khawatir keputusan yang kupilih. akan menyesal di kemudian hari. gemetar tangan saat harus menandatangani,takut
3,karier gelap,hindia,empat tahun kuliah sudah selesai. ijazah di tangan tapi hati kosong. lamar kerja sana sini. tapi waswas kemampuanku cukup nggak. cv dikirim tak ada yang respon. cemas orangtua mulai protes. uang tabungan semakin tipis. gelisah malam tak bisa tidur. . karier gelap tak ada arah yang jelas. khawatir masa depan suram. ketidakpastian membuat bulu kuduk merinding. bimbang antara bertahan atau menyerah. gemetar kalau sampai jadi pengangguran. takut mengecewakan keluarga. interview demi interview. tapi keraguan selalu menghantui. apakah aku layak diterima. di tempat yang aku impikan,karier gelap tak ada arah yang jelas. khawatir masa depan suram. ketidakpastian membuat bulu kuduk merinding. bimbang antara bertahan atau menyerah. gemetar kalau sampai jadi pengangguran. takut mengecewakan keluarga,takut
4,jomblo berkepanjangan,raisa,usia kepala tiga sudah dekat. tapi masih sendiri tanpa pasangan. teman-teman pada menikah. aku waswas jadi perawan tua. keluarga mulai tanya-tanya. kapan bawa calon ke rumah. cemas hati dengar pertanyaan. yang membuatku semakin gelisah. . jomblo berkepanjangan bikin khawatir. takut nggak ada yang mau sama aku. ketidakpastian cinta membuat resah. bimbang apakah masih ada harapan. gemetar kalau sampai hidup sendiri. selamanya tanpa pendamping. aplikasi dating sudah dicoba. tapi keraguan selalu muncul. apakah aku cukup menarik. untuk seseorang yang tulus,jomblo berkepanjangan bikin khawatir. takut nggak ada yang mau sama aku. ketidakpastian cinta membuat resah. bimbang apakah masih ada harapan. gemetar kalau sampai hidup sendiri. selamanya tanpa pendamping,takut
5,ujian nasional,niki zefanya,dua minggu lagi ujian nasional. buku-buku bertumpuk di meja. materi masih banyak yang belum. cemas rasanya waktu tak cukup. teman-teman kayaknya lebih siap. aku waswas nilainya jelek nanti. kalau tidak lulus bagaimana. gelisah memikirkan masa depan. . ujian nasional membuatku khawatir. takut mimpi kuliah hancur berantakan. ketidakpastian hasil membuat bergidik. bimbang apakah usahaku cukup. gemetar tangan saat mengerjakan soal. keraguan menghantuiku siang malam. orangtua berharap masuk ptn. tapi aku resah kemampuanku. bagaimana kalau mengecewakan. mereka yang sudah berkorban,ujian nasional membuatku khawatir. takut mimpi kuliah hancur berantakan. ketidakpastian hasil membuat bergidik. bimbang apakah usahaku cukup. gemetar tangan saat mengerjakan soal. keraguan menghantuiku siang malam,takut
6,gaji pas-pasan,rizky febian,kerja dari pagi sampai malam. tapi gaji masih pas-pasan. tagihan menumpuk di meja. cemas memikirkan bulan depan. cicilan motor belum lunas. kontrak rumah mau habis. waswas kalau harus pindah. ke tempat yang lebih murah. . gaji pas-pasan bikin khawatir terus. takut kalau tiba-tiba dipecat. ketidakpastian finansial mencekam. bimbang harus cari kerja lain. gemetar melihat rekening kosong. gelisah masa depan tak jelas. mimpi beli rumah masih jauh. keraguan apakah bisa tercapai. hidup kok rasanya stagnan. di garis kemiskinan,gaji pas-pasan bikin khawatir terus. takut kalau tiba-tiba dipecat. ketidakpastian finansial mencekam. bimbang harus cari kerja lain. gemetar melihat rekening kosong. gelisah masa depan tak jelas,takut
7,lulus tapi bingung,sandhy sondoro,diploma sudah di tangan. tapi hati masih kosong. belajar empat tahun lamanya. tapi waswas mau kerja apa. jurusan kuliah tak sesuai passion. terpaksa ikut kemauan orangtua. cemas kalau kerja tidak suka. gelisah masa depan tak bahagia. . lulus tapi bingung mau kemana. khawatir salah pilih jalan hidup. ketidakpastian karier membuat resah. bimbang antara passion dan realita. gemetar kalau harus kerja selamanya. di bidang yang tidak dicintai. teman-teman sudah punya rencana. keraguan menghantuiku terus. apakah aku terlambat. menemukan jati diriku,lulus tapi bingung mau kemana. khawatir salah pilih jalan hidup. ketidakpastian karier membuat resah. bimbang antara passion dan realita. gemetar kalau harus kerja selamanya. di bidang yang tidak dicintai,takut
8,putus nyambung,isyana sarasvati,hubungan ini putus nyambung. kadang baik kadang bertengkar. cemas rasanya tak pasti. gelisah hati mau kemana. dia bilang butuh waktu. tapi aku waswas ditinggal. takut kalau ada orang lain. yang mengisi tempat di hatinya. . putus nyambung bikin khawatir. takut kehilangan dia selamanya. ketidakpastian cinta mencekam jiwa. bimbang harus bertahan atau pergi. gemetar kalau hubungan ini berakhir. keraguan membuatku resah. status unclear membuatku stress. tidak tahu dia sayang atau tidak. hubungan tanpa kepastian. membuat hatiku terluka,putus nyambung bikin khawatir. takut kehilangan dia selamanya. ketidakpastian cinta mencekam jiwa. bimbang harus bertahan atau pergi. gemetar kalau hubungan ini berakhir. keraguan membuatku resah,takut
9,orangtua menua,glen fredly,melihat orangtua semakin tua. rambut putih mulai bermunculan. cemas memikirkan kesehatan. waswas kalau mereka sakit. aku masih belum mapan. belum bisa balas budi. gelisah kalau waktu habis. sebelum aku sukses. . orangtua menua membuatku khawatir. takut tidak sempat membahagiakan. ketidakpastian waktu yang tersisa. bimbang antara karier dan keluarga. gemetar memikirkan kalau mereka pergi. keraguan apakah aku anak yang baik. mereka masih kerja keras. demi menghidupi keluarga. aku resah belum bisa. memberikan kehidupan layak,orangtua menua membuatku khawatir. takut tidak sempat membahagiakan. ketidakpastian waktu yang tersisa. bimbang antara karier dan keluarga. gemetar memikirkan kalau mereka pergi. keraguan apakah aku anak yang baik,takut
10,startup gagal,kunto aji,modal tabungan sudah habis. startup yang dibangun mandek. cemas investor mulai pergi. waswas mimpi jadi sirna. ide brilian ternyata tak laku. tim mulai satu persatu resign. gelisah memikirkan masa depan. takut kembali jadi karyawan. . startup gagal membuatku khawatir. takut dibilang entrepreneur gagal. ketidakpastian bisnis mencekam. bimbang harus tutup atau bertahan. gemetar melihat utang menumpuk. keraguan menghantui setiap keputusan. impian jadi bos sendiri. ternyata tidak semudah yang dibayangkan. resah harus mengakui. kegagalan di depan semua orang,startup gagal membuatku khawatir. takut dibilang entrepreneur gagal. ketidakpastian bisnis mencekam. bimbang harus tutup atau bertahan. gemetar melihat utang menumpuk. keraguan menghantui setiap keputusan,takut
